Aug 17 17:35:00 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.03.027.599 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  30557, progress = 0.52, t =  29.48 s / 1036.63 tokens per second
Aug 17 17:35:05 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.08.116.772 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  34653, progress = 0.58, t =  34.45 s / 1005.84 tokens per second
Aug 17 17:35:11 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.13.414.117 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  38749, progress = 0.65, t =  39.66 s / 977.11 tokens per second
Aug 17 17:35:16 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.18.929.157 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  42845, progress = 0.72, t =  45.03 s / 951.56 tokens per second
Aug 17 17:35:22 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.24.676.698 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  46941, progress = 0.79, t =  50.71 s / 925.75 tokens per second
Aug 17 17:35:28 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.30.594.874 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  51037, progress = 0.86, t =  56.50 s / 903.24 tokens per second
Aug 17 17:35:34 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.36.717.084 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  55133, progress = 0.93, t =  62.53 s / 881.76 tokens per second
Aug 17 17:35:38 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.40.432.785 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  57226, progress = 0.97, t =  68.67 s / 833.41 tokens per second
Aug 17 17:35:41 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.43.757.472 I slot print_timing: id  0 | task 43760 | prompt processing, n_tokens =  59274, progress = 1.00, t =  69.68 s / 850.61 tokens per second
Aug 17 17:35:46 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.49.115.402 I slot print_timing: id  0 | task 43760 | n_gen =    100, tg =  19.20 t/s, tg_3s =  19.39 t/s
Aug 17 17:35:49 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.52.158.228 I slot print_timing: id  0 | task 43760 | n_gen =    157, tg =  19.03 t/s, tg_3s =  18.73 t/s
Aug 17 17:35:52 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.54.803.042 I slot print_timing: id  0 | task 43760 | prompt eval time =   72960.66 ms / 59278 tokens (    1.23 ms per token,   812.47 tokens per second)
Aug 17 17:35:52 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.54.803.045 I slot print_timing: id  0 | task 43760 |        eval time =   10843.86 ms /   227 tokens (   47.98 ms per token,    20.84 tokens per second)
Aug 17 17:35:52 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.54.803.046 I slot print_timing: id  0 | task 43760 |       total time =   83804.52 ms / 59505 tokens
Aug 17 17:35:52 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.54.803.047 I slot print_timing: id  0 | task 43760 |    graphs reused =      42668
Aug 17 17:35:52 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.54.803.050 I slot print_timing: id  0 | task 43760 | draft acceptance = 0.55607 (  119 accepted /   214 generated), mean len =  2.11
Aug 17 17:35:52 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.54.804.532 I slot      release: id  0 | task 43760 | stop processing: n_tokens = 59504, truncated = 0
Aug 17 17:35:52 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.54.804.655 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 90152673529
Aug 17 17:35:54 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 195.56.396.038 I slot launch_slot_: id  0 | task 44479 | processing task, is_child = 0
Aug 17 17:36:01 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 196.03.886.940 I slot print_timing: id  0 | task 44479 | prompt processing, n_tokens =   8192, progress = 0.11, t =   5.50 s / 1488.83 tokens per second
