Aug 17 17:39:19 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 199.21.515.548 I slot print_timing: id  0 | task 44479 | n_gen =   2226, tg =  22.11 t/s, tg_3s =  23.87 t/s
Aug 17 17:39:22 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 199.24.614.778 I slot print_timing: id  0 | task 44479 | n_gen =   2304, tg =  22.20 t/s, tg_3s =  25.17 t/s
Aug 17 17:39:23 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 199.25.723.188 I slot print_timing: id  0 | task 44479 | draft acceptance = 0.72555 ( 1380 accepted /  1902 generated), mean len =  2.45
Aug 17 17:40:42 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 200.45.101.034 I slot print_timing: id  0 | task 44607 | n_gen =    100, tg =  25.66 t/s, tg_3s =  25.92 t/s
Aug 17 17:40:45 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 200.48.154.109 I slot print_timing: id  0 | task 44607 | n_gen =    190, tg =  27.35 t/s, tg_3s =  29.48 t/s
Aug 17 17:40:47 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 200.49.888.225 I slot print_timing: id  0 | task 44607 | draft acceptance = 0.91176 (  155 accepted /   170 generated), mean len =  2.82
Aug 17 17:42:42 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 202.45.104.859 I slot print_timing: id  0 | task 45582 | draft acceptance = 0.71951 (   59 accepted /    82 generated), mean len =  2.44
Aug 17 17:44:02 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 204.04.498.517 I slot print_timing: id  0 | task 45687 | draft acceptance = 0.90000 (   63 accepted /    70 generated), mean len =  2.80
Aug 17 17:45:58 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.00.583.460 I slot print_timing: id  0 | task 45749 | n_gen =    101, tg =  20.92 t/s, tg_3s =  21.13 t/s
Aug 17 17:46:01 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.03.583.635 I slot print_timing: id  0 | task 45749 | n_gen =    158, tg =  20.18 t/s, tg_3s =  19.00 t/s
Aug 17 17:46:04 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.06.588.671 I slot print_timing: id  0 | task 45749 | n_gen =    220, tg =  20.31 t/s, tg_3s =  20.63 t/s
Aug 17 17:46:07 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.09.592.545 I slot print_timing: id  0 | task 45749 | n_gen =    283, tg =  20.45 t/s, tg_3s =  20.97 t/s
Aug 17 17:46:10 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.12.598.556 I slot print_timing: id  0 | task 45749 | n_gen =    346, tg =  20.54 t/s, tg_3s =  20.96 t/s
Aug 17 17:46:13 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.15.602.773 I slot print_timing: id  0 | task 45749 | n_gen =    400, tg =  20.15 t/s, tg_3s =  17.97 t/s
Aug 17 17:46:16 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.18.713.413 I slot print_timing: id  0 | task 45749 | n_gen =    457, tg =  19.90 t/s, tg_3s =  18.32 t/s
Aug 17 17:46:19 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.21.716.592 I slot print_timing: id  0 | task 45749 | n_gen =    530, tg =  20.41 t/s, tg_3s =  24.31 t/s
Aug 17 17:46:21 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 206.23.939.855 I slot print_timing: id  0 | task 45749 | draft acceptance = 0.65020 (  329 accepted /   506 generated), mean len =  2.30
Aug 17 17:47:41 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 207.43.580.518 I slot print_timing: id  0 | task 45802 | n_gen =    100, tg =  27.82 t/s, tg_3s =  28.10 t/s
Aug 17 17:47:44 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 207.46.634.605 I slot print_timing: id  0 | task 45802 | n_gen =    178, tg =  26.77 t/s, tg_3s =  25.54 t/s
Aug 17 17:47:46 Dom-PC-2 launch-qwen38-q4-gpu0.sh[3116150]: 207.48.891.705 I slot print_timing: id  0 | task 45802 | draft acceptance = 0.89080 (  155 accepted /   174 generated), mean len =  2.78
