Timestamp, DeviceId, Average % utilization of all GPU Engines, GPU Power (W), GPU Frequency (MHz), GPU Core Temperature (Celsius Degree), GPU Memory Temperature (Celsius Degree), GPU Memory Utilization (%), GPU Memory Bandwidth Utilization (%), GPU Memory Used (MiB), Throttle reason
05:12:36.202,    0, 0.00, 76.76, 2250, 66.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:37.202,    0, 0.00, 76.85, 2250, 66.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:38.202,    0, 0.00, 76.50, 2250, 66.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:39.202,    0, 0.00, 76.06, 2250, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:40.201,    0, 0.00, 76.54, 2250, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:41.202,    0, 0.00, 76.19, 2250, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:42.202,    0, 0.00, 75.71, 2250, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:43.202,    0, 0.00, 75.82, 2250, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:44.202,    0, 0.00, 75.68, 2250, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:45.201,    0, 0.00, 75.46, 2250, 65.00, 88.00, 0.18,    0, 61.13, Not Throttled
05:12:46.201,    0, 0.00, 59.10,  800, 64.00, 88.00, 0.27,    0, 89.75, Not Throttled
05:12:47.201,    0, 0.00, 57.99,  800, 63.00, 88.00, 0.27,    0, 89.75, Not Throttled
05:12:48.201,    0, 0.00, 57.96,  800, 63.00, 88.00, 0.27,    0, 89.75, Not Throttled
05:12:49.201,    0, 0.90, 95.71, 2200, 64.00, 74.00, 80.94,    7, 26433.07, Not Throttled
05:12:50.201,    0, 1.24, 71.72, 2800, 65.00, 72.00, 80.94,    0, 26433.08, Not Throttled
05:12:51.201,    0, 1.24, 76.17, 2800, 65.00, 72.00, 80.94,    0, 26433.08, Not Throttled
05:12:52.201,    0, 1.24, 77.76, 2200, 64.00, 72.00, 80.94,    0, 26433.08, Not Throttled
05:12:53.201,    0, 1.67, 82.00, 2800, 65.00, 72.00, 80.94,    0, 26433.39, Not Throttled
05:12:54.201,    0, 1.24, 83.77, 2800, 65.00, 72.00, 80.94,    0, 26433.39, Not Throttled
05:12:55.201,    0, 1.13, 65.21, 1450, 63.00, 70.00, 80.94,    0, 26433.39, Not Throttled
05:12:56.201,    0, 1.46, 79.71, 1750, 63.00, 72.00, 80.94,    0, 26433.39, Not Throttled
05:12:57.201,    0, 1.24, 83.43, 2800, 65.00, 70.00, 80.94,    0, 26433.39, Not Throttled
05:12:58.201,    0, 1.24, 80.49, 2200, 64.00, 70.00, 80.94,    0, 26433.39, Not Throttled
05:12:59.201,    0, 1.43, 83.13, 2800, 64.00, 70.00, 80.94,    0, 26433.39, Not Throttled
