MemTotal:       131754512 kB
MemFree:        128034228 kB
MemAvailable:   127537600 kB
Buffers:           50072 kB
Cached:           407080 kB
SwapCached:        15228 kB
Active:           478812 kB
Inactive:         140964 kB
Active(anon):     108752 kB
Inactive(anon):    57540 kB
Active(file):     370060 kB
Inactive(file):    83424 kB
Unevictable:        3088 kB
Mlocked:              16 kB
SwapTotal:       8388604 kB
SwapFree:        8080516 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              3200 kB
Writeback:             0 kB
AnonPages:        159456 kB
Mapped:           154748 kB
Shmem:              3100 kB
KReclaimable:     214688 kB
Slab:             609488 kB
SReclaimable:     214688 kB
SUnreclaim:       394800 kB
KernelStack:       12240 kB
PageTables:        11444 kB
SecPageTables:      2336 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    74265860 kB
Committed_AS:    2415708 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      114100 kB
VmallocChunk:          0 kB
Percpu:            23680 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:         9317072 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      293808 kB
DirectMap2M:     6909952 kB
DirectMap1G:    126877696 kB
