         5000283 function calls (4419461 primitive calls) in 0.992 seconds

   Ordered by: cumulative time
   List reduced from 61 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.992    0.992 /home/steve/llm-optimizations/experiments/ltx25-b70/scripts/profile-onepass-metadata-cpu.py:213(dispatch_clip)
      528    0.001    0.000    0.992    0.002 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:143(__call__)
     1584    0.001    0.000    0.959    0.001 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:103(_validate_execution)
     1584    0.002    0.000    0.958    0.001 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:298(validate_current_execution)
     1584    0.055    0.000    0.956    0.001 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:262(_validate)
      528    0.004    0.000    0.673    0.001 /home/steve/llm-optimizations/experiments/ltx25-b70/scripts/ltx_layer_shard.py:73(__call__)
      528    0.003    0.000    0.655    0.001 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:111(_call_native)
     1584    0.114    0.000    0.463    0.000 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:66(_validate)
   199584    0.114    0.000    0.357    0.000 {built-in method builtins.any}
      528    0.001    0.000    0.321    0.001 /home/steve/llm-optimizations/experiments/ltx25-b70/scripts/profile-onepass-metadata-cpu.py:189(simulated_gate)
     1584    0.028    0.000    0.239    0.000 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:168(_routes)
   117216    0.019    0.000    0.160    0.000 /home/steve/.venvs/ltx25-baseline/lib/python3.12/site-packages/torch/nn/modules/module.py:2814(modules)
481536/117216    0.119    0.000    0.140    0.000 /home/steve/.venvs/ltx25-baseline/lib/python3.12/site-packages/torch/nn/modules/module.py:2845(named_modules)
     1584    0.060    0.000    0.135    0.000 /mnt/fast-ai/bench-results/ltx25-baseline-20260913/metadata-dispatch-cpu-03-onepass/tested-adapter.py:210(_registered_bindings)
