ggml_sycl_ornith_spec_moe_add_reduce: fused_hits=3402
ggml_sycl_ornith_moe_gate_up: fused_hits=0
ggml_sycl_ornith_moe_shared_residual_rms: fused_hits=3360
ggml_sycl_residual_rms_norm: fused_hits=3524
ggml_sycl_ornith_alpha_gate: fused_hits=0
ggml_sycl_ornith_spec_conv_silu: fused_hits=2490
ggml_sycl_ornith_conv_silu: fused_hits=2490
ggml_sycl_ornith_concat_state_direct: fused_hits=0
ggml_sycl_ornith_concat_state: fused_hits=0
ggml_sycl_ornith_gdn_state_io: fused_hits=0
ggml_sycl_ornith_gdn_rms_gate: fused_hits=0
ggml_sycl_ornith_qk_norm_rope: fused_hits=0
