relative_path	source_file_sha256	target_file_sha256	embedded_configs_hash	source_normalized_selection_sha256	target_normalized_selection_sha256	normalized_selection_equal	byte_identical
2l/43815d82774ba5a9268e227d458173eb755dcfb88cc5053001dddd7279db0769.best_config	056c4c69a2140fb717e764c9910dad903bfa3214f950f9dc01803ad127b9dc31	7101fefea00133491623f738bcba80566d80504d78b5847c92edeaba354b2bdd	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	true	false
2w/3684a967b3d434ee2762d9b963c22239e6ba5d59985481b41322af0fb4d4bada.best_config	f3cd442781553155aaa3fb48a83d493b7ad70838f93f08f78471b43c740e912a	88cd69afc9d8786d03423c1235595abc1194a3c7ef49aa0fe5e14722cc150265	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	false	false
2z/2c71b230e54d0d89112f3083c89681af26213df168041c973e41b84e316eb0d5.best_config	7fa93a767f27e4d6772b3dd97f27cada5908add82b0c3dade6fd7659ceec2b9c	6c06ce508fac4fe45c025f996af9a24aa8e1774c0ff65480d3df66ee9b6ceb0c	fb5fc2d7f8690dd8f9e7d4c3d2c31c045e5712e2f46e9e637c85d7c16e8f4596	f29f20c6ee7cd37887ab77800f27007cd0919cf277beb74f50938eb677eeebe6	f29f20c6ee7cd37887ab77800f27007cd0919cf277beb74f50938eb677eeebe6	true	false
4f/f3ea2abdd44958257bc3b6f30141207b9259507c4c198254de017baf8afb6d9d.best_config	0068067a9d1590eff2c61518fe58774e7b48071bfb8d20d142444473697c0f4d	4fa22673554eb12db1fcca1236707a88e08d095d95290b08b394831c9f9fdfa4	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	true	false
4u/ccc389188e30327634bbacddf7d3f515d8e7b26e830d7dc94a3b209928305602.best_config	69564425a0ccd70ee9baf5cc0f44da25a417d3dc9bd3a6e9bf250c3fbeb09062	12e16670f615bc712f21b4489dbc40160070fe1714b0882199137a355a7b2de1	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	true	false
52/5439e1eae5dfd13f2a46faff87728d32756e3b70755c21fc963c503647167ae4.best_config	367f9f9787314ad3db8e7562511b286fc874a39a39d3067c0c8010d1773d3665	c133131d598c8dbabe6f62bef4679b8cd932963387637c2e9807edc383aa213a	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	true	false
5a/ac42fce46bdee944f3ce93bd8edcf2cca8b96c59783395b25650bd71100fdd59.best_config	44b1f3f26c3c1e56733fe1a08a6c353235791d4ab31aec5dd60d7fbae94b8729	c1936149b4c7af4b18600762afd7b41290dde6e9e22e09483df0c902f10da545	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	true	false
64/af7418cd90f4f2dfa83e83c2b9ec6ab980979a588d84e3491cf438cad71650ca.best_config	f9b8d8f014958269e0aeadd6cedbb30d9bbff80379196f70a95a2f8ac398ea00	e856e7f498ea49e68b2bccb3f2fd1d2e4f8c57be4a08a8ac56bdbba8c7fa7264	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	true	false
6f/dfea54f77e74aa0196cf9e291e24e7e3323641240cf3bab10760c4ea64b5e263.best_config	d166616bd31c95adf31b52f8a851dbbc0474be1e93095b6b17c280492921bb99	7de9a3c362ba099a5ba46a7abc8042925ad85b0b6f5fa0f3329833ef0a4f847c	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	1d61270e1ab69d2ef57d5c34259843578655f5189f881351fe91a03a3c53e16a	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	false	false
75/42e2b6b2a331d389eb6750e976f7efafabe9ead2d719f2a676e251537834ec2f.best_config	d7ecb98a771240f56916c73979cab62cee2785b780608637ecaf5fd96f627936	3cc6c4ce92cb0047b00485d0420c04ec50b35a844822257c2e184a5ec23e335e	fb5fc2d7f8690dd8f9e7d4c3d2c31c045e5712e2f46e9e637c85d7c16e8f4596	5e45da10c1291607d26e6dfa6ee351d3458f1a69bd9880e6bd0489a5d7d82118	f29f20c6ee7cd37887ab77800f27007cd0919cf277beb74f50938eb677eeebe6	false	false
77/c3b9bff162052030f4ef8871620bcb6e1e232fa0f83bc3f99ecd07385a4c9ea6.best_config	d35be27f9d2f93eeb18c2217bcef0958c180c692a7750a3330309c47574be6c6	b78bbdf8063b640a84f6f999b30a3668a7dab01c9a45a717588ba7ba92fd9a33	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	9ed925268b26c82d45294a3df5cd23e4fbae2e9084b9a51c477d8f5e696bc5b8	9ed925268b26c82d45294a3df5cd23e4fbae2e9084b9a51c477d8f5e696bc5b8	true	false
7z/bd26413079196152db815b4f19edaa92b197079659a1f2d8412a663f803fdf94.best_config	c14ce46e77a3f6e5efcb54fdaec678c8de6e284a867f68412a1e338571e5781b	097ff4ed9b3e16b2572ce3325edbdd635eebe06a33d3e5e570e45d0c4737d0d8	fb5fc2d7f8690dd8f9e7d4c3d2c31c045e5712e2f46e9e637c85d7c16e8f4596	5e45da10c1291607d26e6dfa6ee351d3458f1a69bd9880e6bd0489a5d7d82118	f29f20c6ee7cd37887ab77800f27007cd0919cf277beb74f50938eb677eeebe6	false	false
bm/a5fd3f63e0bb04c7ffce2a62e66a661050d4b1f1dc424021c26ab71a2d56ae72.best_config	4fac2a9682adec0e9544c2ad2740239936d583ad00c9dd3b16c1bf52942a0748	4fac2a9682adec0e9544c2ad2740239936d583ad00c9dd3b16c1bf52942a0748	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	true	true
eb/b98182796ff1955accfd8d591de640e7f125488fa22f839f35a651a9fa59e46b.best_config	8713a8a68ae350ba29c80b2122d265fddeb4250e80c37f64193c68c2566b8386	a20bf7601769000dce1d9185c2d3793fda03660a143795157f18baca216087df	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	true	false
eb/c8c311cb5fc9c9fc2b4c50d3f236a3f1f5b3dd38b4688e22047c8e0236814bbe.best_config	eb66b883a76963a4e02742a143f7c96e1bd71175aa6df5d08d7091f753b4550a	003994f278a617cdce6a9c9571ae177f28c80d35d3288523143f9c666f7c2f21	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	true	false
ef/3374e0ada2cb229a69a719da50ee2f8df57404fa0c2fe892a3361f84c9f44159.best_config	4fc69995f7e628d7fcf965d54d8c1ef3d58218c8234348d6e3eb003176c823c7	5df7f365ceb2a78a28ac73e43c6802b4afaaafcd7c14b58aadfb8e704c785eb6	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	false	false
fc/1f5fa0ae2c959b7c96885f03fd74a6ca4b8a5c3815ec67042d149045338870b5.best_config	5ce35ac6c597d716b359dd985b5a32ef057d769e31d75ba09303c1b35a3fa98a	bbf2bce48bec235edc93244872106bdfe134337d19812b3b37033fe17bd08822	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	true	false
fi/245236a936c994e46d5d26939ee97a0022c299f827efd6e7e4244cc1ceeb2ed5.best_config	7ac5aa7e111bfa102b1953e7fab25d12b5573227acf7cfe997dbb3005534db86	7ac5aa7e111bfa102b1953e7fab25d12b5573227acf7cfe997dbb3005534db86	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	true	true
hc/7c0fe87bc7f358df30d6952724371d163d192a60b283bdd97f042f05f9f070ff.best_config	ad607e571f797f26f13157b683974f134ef2a137dc9c26555f5b5fc3d0294817	d11184e8b7322065336bc54607ad1774cb5764db03e4f104763252dfa991438e	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	1d61270e1ab69d2ef57d5c34259843578655f5189f881351fe91a03a3c53e16a	a178e07a5bd4cbfe8da6f0f508c749d61230e88067085fd037c8991d8280a6be	false	false
hr/b9865a2e90d4402285a857611abbff2e9cd6c9dbe08cb5f4a1ac69da63f46658.best_config	b861a6a59a9d51e147f20306a52dcc16207f94c1103a780ce2faa5fa6b267689	e942fbbaaf828225944a66e2dae042fbc57aef48120a9b1e49aa12a2f6a1134d	bda42bad839aaadcef60a8fcddeb8aed5d24ba4abb324c60936010af389b3ce5	868318931c108e3aecf5ff69d79c2c8ca05ac7dac6f07d8114180b5c143e2c11	1d61270e1ab69d2ef57d5c34259843578655f5189f881351fe91a03a3c53e16a	false	false
k5/a711c9db7739bfdb80e1e359dbe94ad27fd7e3ee492db8775e054204fb18a23d.best_config	d2451ee9969942d349273f121a7dbd9d45081ca353c9ce4b7345e6cfd83c7a11	6cb36c679c21e328b727992689e49d2e23c316b27bfc47825adb9dcdf1ba1b14	aa59ecf027f8e0882448e686b9f2733e504f22eeba30fafef4453b78f6745ab5	bdfcc11c6e9e85800883b909eed53627acfa6a1d0635555ca4b5e366a3698e27	9ed925268b26c82d45294a3df5cd23e4fbae2e9084b9a51c477d8f5e696bc5b8	false	false
