at,elapsed_s,pswpin,pswpout,pswpin_d,pswpout_d,pgmajfault_d,pgscan_d,mem_available_kb,swap_free_kb,dirty_kb,cached_kb,psi_mem_some_avg10,psi_mem_full_avg10,target
2026-09-19T20:08:10-04:00,0,1081103,1563450,0,0,0,0,14118292,36822552,380,2810872,0.00,0.00,1
2026-09-19T20:08:10-04:00,0,1081105,1563450,2,0,17,0,14068268,36822552,3340,2812260,0.00,0.00,1
2026-09-19T20:08:11-04:00,1,1081105,1563450,0,0,0,0,14074728,36822552,6604,2815524,0.00,0.00,1
2026-09-19T20:08:11-04:00,1,1081105,1563450,0,0,0,0,14073160,36822556,10188,2819108,0.00,0.00,1
2026-09-19T20:08:12-04:00,2,1081105,1563450,0,0,0,0,14095080,36822680,13964,2822884,0.00,0.00,1
2026-09-19T20:08:12-04:00,2,1081105,1563450,0,0,0,0,14099128,36822680,17600,2826596,0.00,0.00,1
2026-09-19T20:08:13-04:00,3,1081105,1563450,0,0,5,0,14109232,36822680,21444,2830980,0.00,0.00,1
2026-09-19T20:08:13-04:00,3,1081105,1563450,0,0,0,0,14109496,36822680,25032,2834568,0.00,0.00,1
2026-09-19T20:08:14-04:00,4,1081105,1563450,0,0,0,0,14113356,36822680,28360,2837896,0.00,0.00,1
2026-09-19T20:08:14-04:00,4,1081105,1563450,0,0,0,0,14115532,36822680,32456,2841992,0.00,0.00,1
2026-09-19T20:08:15-04:00,5,1081109,1563450,4,0,4,0,14117316,36822680,36664,2846152,0.00,0.00,1
2026-09-19T20:08:15-04:00,5,1081109,1563450,0,0,0,0,14117428,36822680,40504,2849992,0.00,0.00,1
2026-09-19T20:08:16-04:00,6,1081109,1563450,0,0,0,0,14121848,36822680,44212,2853704,0.00,0.00,1
2026-09-19T20:08:16-04:00,6,1081109,1563450,0,0,0,0,14122096,36822680,48116,2857608,0.00,0.00,1
2026-09-19T20:08:17-04:00,7,1081109,1563450,0,0,0,0,14125316,36822680,52084,2861576,0.00,0.00,1
2026-09-19T20:08:17-04:00,7,1081109,1563450,0,0,0,0,14125856,36822680,56628,2866120,0.00,0.00,1
2026-09-19T20:08:18-04:00,8,1081118,1563450,9,0,6,0,14129572,36822684,62036,2870860,0.00,0.00,1
2026-09-19T20:08:18-04:00,8,1081118,1563450,0,0,0,0,14128940,36822684,66900,2875724,0.00,0.00,1
2026-09-19T20:08:19-04:00,9,1081118,1563450,0,0,0,0,14134192,36822684,71636,2880460,0.00,0.00,1
2026-09-19T20:08:19-04:00,9,1081118,1563450,0,0,0,0,14134940,36822684,76884,2885708,0.00,0.00,1
2026-09-19T20:08:20-04:00,10,1081118,1563450,0,0,0,0,14135872,36822684,81300,2890124,0.00,0.00,1
2026-09-19T20:08:20-04:00,10,1081118,1563450,0,0,0,0,14137512,36822684,85652,2894476,0.00,0.00,1
2026-09-19T20:08:21-04:00,11,1081118,1563450,0,0,0,0,14144468,36822684,89428,2898252,0.00,0.00,1
2026-09-19T20:08:21-04:00,11,1081118,1563450,0,0,0,0,14145236,36822684,95060,2903884,0.00,0.00,1
2026-09-19T20:08:22-04:00,12,1081118,1563450,0,0,0,0,14158316,36822748,99092,2907916,0.00,0.00,1
2026-09-19T20:08:22-04:00,12,1081118,1563450,0,0,0,0,14161372,36822748,105492,2914316,0.00,0.00,1
2026-09-19T20:08:23-04:00,13,1081118,1563450,0,0,0,0,14161664,36822748,111444,2920268,0.00,0.00,1
2026-09-19T20:08:23-04:00,13,1081118,1563450,0,0,0,0,14163448,36822748,117844,2926796,0.00,0.00,1
2026-09-19T20:08:24-04:00,14,1081118,1563450,0,0,0,0,14163764,36822756,123604,2932428,0.00,0.00,1
2026-09-19T20:08:25-04:00,15,1081118,1563450,0,0,0,0,14166544,36822756,130132,2938956,0.00,0.00,1
2026-09-19T20:08:25-04:00,15,1081118,1563450,0,0,0,0,14170192,36822756,135124,2943940,0.00,0.00,1
2026-09-19T20:08:26-04:00,16,1081118,1563450,0,0,0,0,14172028,36822756,140948,2949772,0.00,0.00,1
2026-09-19T20:08:26-04:00,16,1081118,1563450,0,0,0,0,14172020,36822756,146772,2955596,0.00,0.00,1
2026-09-19T20:08:27-04:00,17,1081118,1563450,0,0,0,0,14172776,36822756,153300,2962124,0.00,0.00,1
2026-09-19T20:08:27-04:00,17,1081118,1563450,0,0,0,0,14173508,36822756,158804,2967628,0.00,0.00,1
2026-09-19T20:08:28-04:00,18,1081118,1563450,0,0,0,0,14174484,36822756,165204,2974028,0.00,0.00,1
2026-09-19T20:08:28-04:00,18,1081118,1563450,0,0,0,0,14174848,36822756,169940,2978764,0.00,0.00,1
