at,elapsed_s,pswpin,pswpout,pswpin_d,pswpout_d,pgmajfault_d,pgscan_d,mem_available_kb,swap_free_kb,dirty_kb,cached_kb,psi_mem_some_avg10,psi_mem_full_avg10,target
2026-09-19T19:45:11-04:00,0,950946,1488825,0,0,0,0,14368072,36823904,661968,7918004,0.20,0.20,0
2026-09-19T19:45:11-04:00,0,951693,1488825,747,0,1543,0,14343744,36823904,661992,8083916,0.16,0.16,0
2026-09-19T19:45:12-04:00,1,951758,1488825,65,0,1900,0,14225464,36823960,662164,8295344,0.16,0.16,0
2026-09-19T19:45:12-04:00,1,951772,1488825,14,0,1304,0,14167232,36823960,662184,8425540,0.16,0.16,0
2026-09-19T19:45:13-04:00,2,951791,1488825,19,0,54,0,14114024,36823960,662184,8443580,0.16,0.16,0
2026-09-19T19:45:13-04:00,2,951839,1488825,48,0,572,0,14318448,36823960,662196,8516804,0.13,0.13,0
2026-09-19T19:45:14-04:00,3,951856,1488825,17,0,18,0,14129764,36823960,661748,8517480,0.13,0.13,0
2026-09-19T19:45:14-04:00,3,951973,1488825,117,0,164,0,13903320,36823960,661884,8525404,0.13,0.13,0
2026-09-19T19:45:15-04:00,4,951988,1488825,15,0,83,0,14224136,36823960,661892,8541852,0.13,0.13,0
2026-09-19T19:45:15-04:00,4,952001,1488825,13,0,12,0,14030704,36823960,661900,8541852,0.11,0.11,0
2026-09-19T19:45:16-04:00,5,952010,1488825,9,0,8,51200,13854596,36823960,661924,8439456,0.11,0.11,0
2026-09-19T19:45:16-04:00,5,952028,1488825,18,0,11,50776,14234624,36823960,661932,8337904,0.11,0.11,0
2026-09-19T19:45:17-04:00,6,952054,1488825,26,0,18,0,14041716,36823960,661972,8337984,0.11,0.11,0
2026-09-19T19:45:17-04:00,6,952072,1488825,18,0,20,0,13839556,36823960,661980,8338932,0.09,0.09,0
2026-09-19T19:45:18-04:00,7,952079,1488825,7,0,7,0,13534168,36823960,661980,8338932,0.09,0.09,0
2026-09-19T19:45:19-04:00,8,952090,1488825,11,0,80,0,13230024,36823960,661992,8342900,0.09,0.09,0
2026-09-19T19:45:19-04:00,8,952109,1488825,19,0,143,0,13228008,36823960,80368,8350004,0.09,0.09,0
2026-09-19T19:45:20-04:00,9,952136,1488825,27,0,767,50848,13006352,36823960,1200,8289808,0.07,0.07,0
2026-09-19T19:45:20-04:00,9,952154,1488825,18,0,17,0,14154900,36823960,1212,8289844,0.07,0.07,0
2026-09-19T19:45:21-04:00,10,952800,1488825,646,0,494,0,13970540,36824020,1220,8289844,0.07,0.07,0
2026-09-19T19:45:21-04:00,10,952812,1488825,12,0,7,0,13925916,36824020,1228,8289848,0.07,0.07,0
2026-09-19T19:45:22-04:00,11,952821,1488825,9,0,5,0,13969056,36824020,1376,8289852,0.06,0.06,0
2026-09-19T19:45:22-04:00,11,952824,1488825,3,0,10,0,13811420,36824020,1448,8289852,0.06,0.06,0
2026-09-19T19:45:23-04:00,12,952972,1488825,148,0,118,0,14066644,36824020,1204,8290052,0.06,0.06,0
2026-09-19T19:45:23-04:00,12,953275,1488825,303,0,382,0,13934416,36824588,1212,8293292,0.05,0.05,0
2026-09-19T19:45:24-04:00,13,955408,1488825,2133,0,1027,0,13711156,36824596,1224,8293164,0.05,0.05,0
2026-09-19T19:45:24-04:00,13,955409,1488825,1,0,1,0,14043912,36824596,560,8293164,0.05,0.05,0
2026-09-19T19:45:25-04:00,14,955410,1488825,1,0,3,0,13850324,36824596,568,8293164,0.05,0.05,0
2026-09-19T19:45:25-04:00,14,955415,1488825,5,0,3,0,13725444,36824596,576,8293164,0.04,0.04,0
2026-09-19T19:45:26-04:00,15,955420,1488825,5,0,2,0,13458344,36824596,596,8293164,0.04,0.04,0
2026-09-19T19:45:26-04:00,15,955432,1488825,12,0,11,0,13161316,36824596,608,8293164,0.04,0.04,0
