at,elapsed_s,pswpin,pswpout,pswpin_d,pswpout_d,pgmajfault_d,pgscan_d,mem_available_kb,swap_free_kb,dirty_kb,cached_kb,psi_mem_some_avg10,psi_mem_full_avg10,target
2026-09-19T17:19:48-04:00,0,0,0,0,0,0,0,14168160,37748728,1508,1587864,0.00,0.00,0
2026-09-19T17:19:49-04:00,1,0,0,0,0,833,0,14128132,37748728,1668,1758636,0.00,0.00,0
2026-09-19T17:19:49-04:00,1,0,0,0,0,1905,0,14033960,37748728,1668,1993532,0.00,0.00,0
2026-09-19T17:19:50-04:00,2,0,0,0,0,1239,0,13970016,37748728,1668,2178260,0.00,0.00,0
2026-09-19T17:19:50-04:00,2,0,0,0,0,46,0,13905364,37748728,1808,2206556,0.00,0.00,0
2026-09-19T17:19:51-04:00,3,0,0,0,0,634,0,13875896,37748728,1808,2301736,0.00,0.00,0
2026-09-19T17:19:51-04:00,3,0,0,0,0,212,0,13897496,37748728,1812,2312176,0.00,0.00,0
2026-09-19T17:19:52-04:00,4,0,0,0,0,0,0,13886884,37748728,1812,2312176,0.00,0.00,0
2026-09-19T17:19:52-04:00,4,0,0,0,0,164,0,13383176,37748728,944,2335784,0.00,0.00,0
2026-09-19T17:19:53-04:00,5,0,0,0,0,2,0,13890816,37748728,616,2335792,0.00,0.00,0
2026-09-19T17:19:53-04:00,5,0,0,0,0,0,0,13748264,37748728,724,2335792,0.00,0.00,0
2026-09-19T17:19:54-04:00,6,0,0,0,0,0,0,13589084,37748728,724,2335792,0.00,0.00,0
2026-09-19T17:19:55-04:00,7,0,0,0,0,0,0,13888712,37748728,700,2335792,0.00,0.00,0
2026-09-19T17:19:55-04:00,7,0,0,0,0,4,0,13780756,37748728,700,2336716,0.00,0.00,0
2026-09-19T17:19:56-04:00,8,0,0,0,0,0,0,13435532,37748728,700,2336720,0.00,0.00,0
2026-09-19T17:19:56-04:00,8,0,0,0,0,61,0,13103064,37748728,700,2340420,0.00,0.00,0
2026-09-19T17:19:57-04:00,9,0,0,0,0,88,0,13097192,37748728,700,2346888,0.00,0.00,0
2026-09-19T17:19:57-04:00,9,0,0,0,0,700,0,12863388,37748728,692,2388360,0.00,0.00,0
2026-09-19T17:19:58-04:00,10,0,0,0,0,6,0,13854172,37748728,692,2388868,0.00,0.00,0
2026-09-19T17:19:58-04:00,10,0,0,0,0,0,0,13857908,37748728,688,2388868,0.00,0.00,0
2026-09-19T17:19:59-04:00,11,0,0,0,0,0,0,13792136,37748728,688,2388868,0.00,0.00,0
2026-09-19T17:19:59-04:00,11,0,0,0,0,0,0,13899472,37748728,708,2388872,0.00,0.00,0
2026-09-19T17:20:00-04:00,12,0,0,0,0,0,0,13782332,37748728,896,2388872,0.00,0.00,0
2026-09-19T17:20:00-04:00,12,0,0,0,0,0,0,13987604,37748728,960,2388876,0.00,0.00,0
2026-09-19T17:20:01-04:00,13,0,0,0,0,0,0,13780608,37748728,960,2388876,0.00,0.00,0
2026-09-19T17:20:01-04:00,13,0,0,0,0,0,0,13507908,37748728,960,2388876,0.00,0.00,0
2026-09-19T17:20:02-04:00,14,0,0,0,0,0,0,13919824,37748728,960,2388876,0.00,0.00,0
2026-09-19T17:20:02-04:00,14,0,0,0,0,0,0,13729936,37748728,960,2388876,0.00,0.00,0
2026-09-19T17:20:03-04:00,15,0,0,0,0,0,0,13506392,37748728,636,2388876,0.00,0.00,0
2026-09-19T17:20:03-04:00,15,0,0,0,0,0,0,13256876,37748728,348,2388876,0.00,0.00,0
2026-09-19T17:20:04-04:00,16,0,0,0,0,5,0,12972584,37748728,348,2388928,0.00,0.00,0
2026-09-19T17:20:04-04:00,16,0,0,0,0,1,0,12932824,37748728,404,2388932,0.00,0.00,0
2026-09-19T17:20:05-04:00,17,0,0,0,0,0,0,13718212,37748728,404,2388932,0.00,0.00,0
2026-09-19T17:20:05-04:00,17,0,0,0,0,82,0,13868668,37748728,308,2412972,0.00,0.00,1
2026-09-19T17:20:06-04:00,18,0,0,0,0,425,0,13611032,37748728,804,2475768,0.00,0.00,1
2026-09-19T17:20:06-04:00,18,0,0,0,0,1938,0,13697788,37748728,804,2742368,0.00,0.00,1
2026-09-19T17:20:07-04:00,19,0,0,0,0,1438,0,13658320,37748728,848,2901376,0.00,0.00,1
2026-09-19T17:20:07-04:00,19,0,0,0,0,216,0,13594232,37748728,884,2932732,0.00,0.00,1
2026-09-19T17:20:08-04:00,20,0,0,0,0,433,0,13553412,37748728,1748,2995700,0.00,0.00,1
2026-09-19T17:20:08-04:00,20,0,0,0,0,95,0,13545972,37748728,6380,3009412,0.00,0.00,1
